127.0.0.1, 2014-11-01 17:45:54, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000609
127.0.0.1, 2014-11-01 17:45:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000539
127.0.0.1, 2014-11-01 17:46:33, GET, /circi/default/show_records, HTTP/1.1, 500, 0.019195
127.0.0.1, 2014-11-01 17:46:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2014-11-01 17:46:37, GET, /admin/default/ticket/circi/127.0.0.1.2014-11-01.17-46-33.294f62d6-5eb2-4004-a2b3-9c558430e972, HTTP/1.1, 200, 0.087057
127.0.0.1, 2014-11-01 17:46:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/default/show_records, HTTP/1.1, 200, 0.024935
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001256
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/jquery.js, HTTP/1.1, 304, 0.002049
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/css/calendar.css, HTTP/1.1, 304, 0.001124
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/web2py.js, HTTP/1.1, 304, 0.001340
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/css/web2py.css, HTTP/1.1, 304, 0.001169
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/calendar.js, HTTP/1.1, 304, 0.001285
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001422
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001499
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/share.js, HTTP/1.1, 304, 0.002252
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003461
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003791
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/images/twitter.png, HTTP/1.1, 304, 0.000414
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/images/facebook.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2014-11-01 17:48:25, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 304, 0.000385
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/default/show_records, HTTP/1.1, 200, 0.030570
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/css/web2py.css, HTTP/1.1, 304, 0.000417
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/web2py.js, HTTP/1.1, 304, 0.001457
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/jquery.js, HTTP/1.1, 304, 0.002396
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/css/calendar.css, HTTP/1.1, 304, 0.000545
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/calendar.js, HTTP/1.1, 304, 0.002047
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003700
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000497
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000357
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000341
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/js/share.js, HTTP/1.1, 304, 0.000312
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 304, 0.000557
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/images/facebook.png, HTTP/1.1, 304, 0.000515
127.0.0.1, 2014-11-01 17:48:44, GET, /circi/static/images/twitter.png, HTTP/1.1, 304, 0.000528
127.0.0.1, 2014-11-01 17:49:20, GET, /circi/default/show_records, HTTP/1.1, 200, 0.027912
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/, HTTP/1.1, 200, 0.114031
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/jquery.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002475
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/css/calendar.css, HTTP/1.1, 200, 0.000988
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/calendar.js, HTTP/1.1, 200, 0.000824
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001908
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/web2py.js, HTTP/1.1, 200, 0.001111
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/css/web2py.css, HTTP/1.1, 200, 0.001176
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001518
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000720
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001520
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001210
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/js/share.js, HTTP/1.1, 200, 0.000931
127.0.0.1, 2014-11-01 17:50:43, GET, /circi/static/images/favicon.ico, HTTP/1.1, 200, 0.000452
127.0.0.1, 2014-11-01 17:50:44, GET, /circi/static/images/twitter.png, HTTP/1.1, 200, 0.000824
127.0.0.1, 2014-11-01 17:50:44, GET, /circi/static/images/facebook.png, HTTP/1.1, 200, 0.001113
127.0.0.1, 2014-11-01 17:50:44, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 200, 0.000693
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/default/show_records, HTTP/1.1, 200, 0.102122
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/css/calendar.css, HTTP/1.1, 200, 0.002130
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000818
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/jquery.js, HTTP/1.1, 200, 0.003072
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/web2py.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/calendar.js, HTTP/1.1, 200, 0.001405
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/css/web2py.css, HTTP/1.1, 200, 0.000507
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001608
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000601
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000696
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/share.js, HTTP/1.1, 200, 0.000328
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001399
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000965
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/images/favicon.ico, HTTP/1.1, 200, 0.000444
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 200, 0.000683
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/images/facebook.png, HTTP/1.1, 200, 0.002247
127.0.0.1, 2014-11-01 17:50:49, GET, /circi/static/images/twitter.png, HTTP/1.1, 200, 0.002634
127.0.0.1, 2014-11-01 17:51:02, GET, /circi/, HTTP/1.1, 200, 0.102935
127.0.0.1, 2014-11-01 17:51:02, GET, /circi/static/css/calendar.css, HTTP/1.1, 200, 0.002159
127.0.0.1, 2014-11-01 17:51:02, GET, /circi/static/css/web2py.css, HTTP/1.1, 200, 0.000634
